n,Compare,Swap
100,306,94
200,704,191
300,1181,290
400,1553,385
500,1900,491
600,2224,590
700,2770,688
800,3215,790
900,3543,885
1000,3945,989
1100,4371,1086
1200,4966,1193
1300,5674,1287
1400,5449,1380
1500,6274,1476
1600,6540,1580
1700,7135,1677
1800,7420,1778
1900,8014,1875
2000,8200,1974
2100,8695,2075
2200,9380,2176
2300,9767,2269
2400,10123,2370
2500,10359,2469
2600,11339,2561
2700,11119,2661
2800,10829,2771
2900,12187,2858
3000,12231,2955
3100,12810,3062
3200,13443,3159
3300,13956,3264
3400,14202,3365
3500,14590,3465
3600,15216,3552
3700,15184,3643
3800,15558,3764
3900,15544,3861
4000,16750,3957
4100,17005,4046
4200,16971,4145
4300,18244,4239
4400,17789,4355
4500,18825,4450
4600,19722,4549
4700,19414,4643
4800,19259,4738
4900,19449,4834
5000,20314,4946
5100,20952,5043
5200,21599,5129
5300,22502,5240
5400,22400,5346
5500,22853,5438
5600,22785,5529
5700,23249,5628
5800,23793,5744
5900,24146,5840
6000,24946,5953
6100,26283,6031
6200,25621,6150
6300,25773,6253
6400,27029,6339
6500,26698,6436
6600,27280,6526
6700,27948,6621
6800,28143,6736
6900,28459,6821
7000,29272,6922
7100,28844,7008
7200,29914,7116
7300,30644,7208
7400,30452,7321
7500,31473,7415
7600,31233,7500
7700,31656,7620
7800,32845,7719
7900,33645,7800
8000,33548,7912
8100,34413,8018
8200,34150,8109
8300,33951,8221
8400,34918,8321
8500,35027,8405
8600,35150,8505
8700,37604,8609
8800,36785,8697
8900,36608,8810
9000,37248,8890
9100,36952,9008
9200,38363,9103
9300,37809,9201
9400,38720,9305
9500,39597,9402
9600,39337,9500
9700,40403,9578
9800,40683,9693
9900,41985,9793
10000,41154,9887
